Genome,Resistance Phenotype Ciprofloxacin,Resistance Phenotype Meropenem,Resistance Phenotype Gentamicin
72407.2946,1,1,1
72407.2335,1,0,1
573.66302,1,1,0
573.66428,1,0,0
573.66238,1,1,1
72407.2964,1,1,0
573.66332,1,1,1
72407.2245,1,0,1
72407.2621,1,1,0
72407.2569,1,0,1
72407.2516,1,0,0
573.66554,1,1,0
573.66521,1,1,1
573.66415,1,1,0
72407.2705,1,0,0
573.66078,0,1,0
573.66042,1,0,0
72407.2529,0,0,0
72407.2459,0,0,0
573.66419,1,1,0
573.66465,1,1,1
72407.2524,1,0,1
72407.2525,1,0,1
72407.2395,1,0,0
573.66287,1,1,1
72407.2438,1,0,1
72407.2865,1,0,0
573.66021,0,1,0
72407.2397,0,0,0
72407.2577,1,0,0
573.66523,1,1,1
72407.2521,1,0,1
573.66352,1,1,0
573.66098,1,0,0
573.66218,1,1,0
573.66236,0,1,0
72407.2849,1,0,0
72407.2666,1,0,0
573.65968,1,0,1
72407.2797,1,1,0
573.6635,1,1,1
72407.2461,1,0,0
573.6608,1,1,0
72407.2708,1,0,0
573.66212,1,1,0
72407.2349,1,0,1
72407.2396,1,0,0
72407.2487,0,0,0
573.66347,1,1,1
573.65987,1,0,0
573.66462,0,0,0
573.52801,0,1,0
72407.2735,1,0,1
72407.2805,1,0,1
72407.2401,1,0,0
573.66296,1,1,0
573.66334,1,1,1
574.97,1,0,1
72407.2202,1,0,0
72407.2589,1,0,1
72407.2948,1,1,1
72407.2677,1,0,1
573.66316,1,1,0
573.66557,1,1,1
573.66095,1,0,0
72407.2696,0,1,1
573.66515,1,1,1
573.66439,1,1,0
573.66076,1,1,0
72407.2224,1,0,0
72407.2351,1,0,0
573.66406,1,1,1
573.66438,1,1,0
573.67673,1,1,1
72407.2337,1,0,0
72407.2603,0,0,0
72407.2407,1,0,0
72407.235,1,1,0
573.65913,0,0,0
573.66514,1,1,1
72407.2731,1,0,0
72407.233,1,0,0
573.66533,1,1,0
573.66339,1,0,1
72407.2442,1,0,0
72407.2645,1,0,1
72407.2489,1,0,1
574.116,1,0,0
72407.281,1,0,0
72407.2802,1,0,0
573.66358,1,1,1
72407.238,0,0,0
72407.2608,1,0,0
573.66012,1,0,0
573.66388,1,1,0
574.121,0,0,0
72407.2963,1,0,1
573.66542,1,1,1
573.66267,1,1,0
573.66386,1,1,0
72407.2275,1,0,0
573.65954,1,0,1
573.66074,0,0,0
573.66458,1,0,0
72407.243,1,0,1
573.66538,1,1,0
573.66337,1,1,0
72407.2614,1,0,0
573.66303,1,1,0
573.65915,1,0,0
573.66487,1,1,0
573.66342,1,1,0
573.66346,1,1,1
573.66328,1,1,1
573.66365,1,1,1
573.66331,1,1,1
72407.2384,1,0,0
72407.2953,1,0,1
573.66403,1,1,0
72407.2427,1,0,1
573.65901,1,0,1
573.66375,1,1,0
573.66544,1,1,1
574.93,1,0,0
573.66097,1,0,0
573.66246,1,1,1
72407.2542,0,0,0
573.66472,1,1,1
573.66237,1,1,0
573.66227,1,1,1
573.66242,1,1,0
72407.2419,1,0,0
72407.2204,1,0,0
573.66351,1,1,0
573.65984,1,0,1
72407.2352,0,0,0
72407.2772,0,0,0
72407.295,1,0,0
72407.2796,1,0,0
573.66275,1,1,0
573.66537,1,1,1
573.66417,1,1,0
72407.2954,0,0,0
573.6651,1,1,1
573.66274,1,1,0
